Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Label
[[0.95560608 1.20367771 0.78301698 1.38184808]],[[0.67165251 0.77550734 0.59140859 0.8403786 ]],[[0.69216029 0.65414458 0.72328481 0.63255907]],[[0.19443539 0.18420573 0.20531279 0.17842317]],[[0.89941156 0.87237095 0.91697502 0.853479  ]],[[0.03780512 0.03393175 0.04215334 0.03183483]],corrosion
[[1.43419753 2.30759795 1.43023916 2.22615468]],[[0.66587622 0.87558265 0.65049176 0.85484403]],[[0.72969113 0.67160632 0.73772821 0.67776436]],[[0.22989735 0.21305616 0.23432042 0.21501183]],[[0.94529463 0.91194143 0.94542417 0.91504969]],[[0.05285279 0.04539293 0.05490606 0.04623009]],corrosion
[[0.9573048  1.62545479 1.36844306 2.00076287]],[[0.52103016 0.73326291 0.6727218  0.82927586]],[[0.77791761 0.70743023 0.72417146 0.68205921]],[[0.24320539 0.22681475 0.23087938 0.22261809]],[[0.95789586 0.92854952 0.93976541 0.9120506 ]],[[0.05914886 0.05144493 0.05330529 0.04955881]],corrosion
[[2.56982631 3.34070844 2.73190691 4.57870696]],[[1.06091944 1.23583804 1.09873574 1.44058688]],[[0.59979272 0.55698873 0.58976075 0.52311146]],[[0.20266753 0.19049417 0.20013298 0.18389126]],[[0.70331867 0.61444127 0.68463145 0.47156456]],[[0.04107413 0.03628803 0.04005321 0.033816  ]],corrosion
[[0.09891947 0.165679   0.09695878 0.14047567]],[[0.08413622 0.12429773 0.08297645 0.11379533]],[[0.95937664 0.94183153 0.95989046 0.94571435]],[[0.35146309 0.34736326 0.35150971 0.348004  ]],[[0.99724765 0.99538994 0.99730194 0.99609122]],[[0.1235263  0.12066123 0.12355908 0.12110678]],corrosion
[[1.13374711 2.06630109 1.47576516 1.84656221]],[[0.67754708 0.99161049 0.79877693 0.92311551]],[[0.70310969 0.6015275  0.66248341 0.62211903]],[[0.19853843 0.17103412 0.18783364 0.1763049 ]],[[0.90616684 0.82902798 0.8778694  0.84720983]],[[0.03941751 0.02925267 0.03528148 0.03108342]],corrosion
[[0.30603337 0.81529769 0.70480057 0.7986064 ]],[[0.2221098  0.41754183 0.3843245  0.4208162 ]],[[0.89662215 0.82281936 0.83375415 0.82012479]],[[0.4496867  0.4315438  0.43321543 0.43129739]],[[0.99419644 0.98455051 0.98664844 0.9848668 ]],[[0.20221813 0.18623005 0.18767561 0.18601744]],corrosion
[[0.71914302 1.08715342 0.69335561 1.0296857 ]],[[0.48286774 0.62440742 0.46365999 0.60815167]],[[0.78036919 0.72944993 0.78956993 0.73362761]],[[0.18319922 0.16791306 0.18566783 0.1690108 ]],[[0.97677045 0.96483144 0.97756614 0.96669641]],[[0.03356195 0.0281948  0.03447254 0.02856465]],corrosion
[[0.73252207 1.36050602 0.95546929 1.3193373 ]],[[0.39274636 0.57482313 0.44622275 0.55979456]],[[0.83018431 0.77038204 0.81355236 0.77578809]],[[0.25361009 0.23384537 0.24991119 0.23680909]],[[0.97326185 0.95003972 0.96490182 0.95153849]],[[0.06431808 0.05468366 0.0624556  0.05607854]],corrosion
[[0.19536923 0.24823393 0.19600064 0.32018982]],[[0.17044939 0.21176067 0.17328874 0.24588071]],[[0.91722451 0.89770053 0.9155882  0.88414967]],[[0.34952857 0.34125568 0.34998886 0.33620926]],[[0.99292705 0.99101414 0.99290599 0.98840896]],[[0.12217022 0.11645544 0.1224922  0.11303667]],corrosion
[[0.14677595 0.23405277 0.1760433  0.22837023]],[[0.13336663 0.18998703 0.14804477 0.18798693]],[[0.93452619 0.90884729 0.92846427 0.90954971]],[[0.27461511 0.26266166 0.27254998 0.26301702]],[[0.996368   0.99420809 0.99564359 0.99434867]],[[0.07541346 0.06899115 0.07428349 0.06917796]],corrosion
[[0.60791114 1.03294068 0.60972061 0.93513912]],[[0.35540791 0.49219526 0.35663809 0.475319  ]],[[0.84486481 0.798753   0.84425331 0.80239836]],[[0.31174476 0.30539214 0.31120835 0.3058034 ]],[[0.98922858 0.98169379 0.989196   0.98342707]],[[0.0971848  0.09326436 0.09685064 0.09351572]],corrosion
[[0.52421124 0.76048769 0.50629371 0.78220502]],[[0.45129831 0.58189621 0.43572428 0.59426887]],[[0.78163087 0.72675643 0.78917148 0.72150043]],[[0.25527591 0.23421349 0.2603139  0.23223458]],[[0.92395226 0.88915652 0.92626773 0.88594796]],[[0.06516579 0.05485596 0.06776332 0.0539329 ]],corrosion
[[0.24182641 0.29490843 0.21582827 0.33128085]],[[0.21175539 0.2512847  0.19284132 0.26738365]],[[0.89704918 0.87857222 0.90583273 0.87243725]],[[0.33514033 0.32478805 0.34016961 0.32266536]],[[0.99168266 0.98985696 0.99257762 0.98860615]],[[0.11231904 0.10548727 0.11571536 0.10411293]],corrosion
[[0.95403246 1.58816058 1.03898352 1.67082666]],[[0.34316391 0.45060467 0.34903846 0.44905848]],[[0.8730811  0.8488792  0.87345024 0.85224471]],[[0.65626832 0.6487402  0.65590887 0.64918847]],[[0.97701177 0.96185919 0.97497169 0.9598739 ]],[[0.43068811 0.42086385 0.43021644 0.42144566]],corrosion
[[0.25423481 0.3968383  0.32576754 0.5288639 ]],[[0.19494562 0.28376241 0.22427632 0.31997042]],[[0.90800915 0.8680772  0.89604085 0.85674906]],[[0.27456312 0.25475712 0.2707313  0.25032709]],[[0.98566961 0.9776066  0.98162837 0.97015761]],[[0.07538491 0.06490119 0.07329544 0.06266365]],corrosion
[[0.35760091 0.79239589 0.56968998 0.78828807]],[[0.2521506  0.43026847 0.35112878 0.43672589]],[[0.88360655 0.81610141 0.844426   0.81264815]],[[0.25751007 0.23522023 0.24616658 0.23429807]],[[0.98827167 0.97393632 0.98125697 0.97406923]],[[0.06631144 0.05532856 0.06059798 0.05489558]],corrosion
[[1.26672162 1.88630404 1.02593242 1.9529044 ]],[[0.40460142 0.53015142 0.32956612 0.53756678]],[[0.85244465 0.8175299  0.87894429 0.81690245]],[[0.2387271  0.22597203 0.25073592 0.22628366]],[[0.94682025 0.92078483 0.95692867 0.91798832]],[[0.05699063 0.05106336 0.0628685  0.05120429]],corrosion
[[0.52283673 0.88811061 0.56147124 0.82565148]],[[0.37917227 0.52976839 0.39303139 0.4988396 ]],[[0.82408193 0.76809084 0.81958427 0.7806221 ]],[[0.18545586 0.16914052 0.18415949 0.17239877]],[[0.9849412  0.97441608 0.98382463 0.97621407]],[[0.03439388 0.02860851 0.03391472 0.02972133]],corrosion
[[0.59280348 1.12842913 0.68149719 0.97582038]],[[0.36364181 0.54341889 0.38433993 0.50588424]],[[0.8390816  0.77940186 0.8351349  0.78962823]],[[0.28852129 0.26678194 0.2916744  0.26996296]],[[0.94589586 0.89704625 0.93771332 0.91096828]],[[0.08324454 0.0711726  0.08507395 0.07288   ]],corrosion
[[1.18468115 1.8740771  1.48694293 1.87731395]],[[0.63681336 0.84455608 0.7322962  0.85032258]],[[0.73180973 0.66717778 0.70063389 0.66422595]],[[0.18256039 0.16338322 0.17312822 0.16209718]],[[0.94196637 0.90814101 0.92708971 0.90798465]],[[0.03332829 0.02669408 0.02997338 0.0262755 ]],corrosion
[[1.75656237 2.90742733 1.80094991 2.35947918]],[[0.78050935 1.0250257  0.78701172 0.93778521]],[[0.69373862 0.63565148 0.69300389 0.64966591]],[[0.17294113 0.1593334  0.17285907 0.16099593]],[[0.94697781 0.91225408 0.94563939 0.92879156]],[[0.02990863 0.02538713 0.02988026 0.02591969]],corrosion
[[2.35179057 3.42227409 2.08228469 3.25104151]],[[0.98621042 1.19913641 0.9049273  1.16537718]],[[0.6221186  0.57511012 0.64745237 0.58250807]],[[0.14174812 0.13182202 0.14776416 0.13314235]],[[0.92000613 0.8834634  0.92913041 0.88927687]],[[0.02009253 0.01737705 0.02183425 0.01772689]],corrosion
[[0.08680943 0.11126279 0.08056348 0.12526035]],[[0.08471893 0.10867705 0.08004612 0.11915338]],[[0.95784825 0.94591905 0.96002868 0.94102368]],[[0.31276666 0.30716587 0.31315588 0.30572944]],[[0.99691229 0.99604285 0.99713421 0.99554496]],[[0.09782298 0.09435087 0.0980666  0.09347049]],corrosion
[[0.87558552 1.33697551 0.76355222 1.39683554]],[[0.43116826 0.57684296 0.39438149 0.59091147]],[[0.81864753 0.769163   0.83190346 0.76568464]],[[0.19756909 0.18162252 0.20122161 0.18075584]],[[0.97404518 0.96036407 0.97735989 0.95858872]],[[0.03903354 0.03298674 0.04049014 0.03267267]],corrosion
[[1.02592584 1.83515264 1.45010746 1.81625227]],[[0.56475669 0.81654413 0.71466805 0.81533083]],[[0.75991448 0.67992151 0.70840703 0.67911925]],[[0.24812302 0.22659189 0.23218706 0.22495484]],[[0.95107158 0.91248789 0.93085412 0.91338893]],[[0.06156503 0.05134389 0.05391083 0.05060468]],corrosion
[[2.18951416 3.0591786  1.62375904 3.21467634]],[[0.97646946 1.1783205  0.82698795 1.20810899]],[[0.62234094 0.57481308 0.66156561 0.56975667]],[[0.18182095 0.17088934 0.19364582 0.17044069]],[[0.88942842 0.84532176 0.9179465  0.83745416]],[[0.03305886 0.02920317 0.0374987  0.02905003]],corrosion
[[0.71792567 1.21957549 0.72540362 1.09043281]],[[0.35282817 0.49750434 0.35969715 0.4630542 ]],[[0.85108842 0.80501321 0.84929571 0.814289  ]],[[0.2189136  0.20558146 0.21896401 0.20768617]],[[0.98106988 0.96784137 0.98087816 0.97124499]],[[0.04792316 0.04226374 0.04794524 0.04313355]],corrosion
[[0.22013741 0.33394388 0.22694795 0.33043873]],[[0.19259946 0.26742636 0.20161326 0.2679011 ]],[[0.9063821  0.87275682 0.90170488 0.87216587]],[[0.2692795  0.25327929 0.26720824 0.25320974]],[[0.98951689 0.98409434 0.98919094 0.98426141]],[[0.07251145 0.0641504  0.07140024 0.06411517]],corrosion
[[0.74242958 0.96747266 0.62568828 1.09082236]],[[0.43549817 0.51886592 0.39491454 0.54404553]],[[0.809501   0.77991872 0.82376813 0.77364999]],[[0.25998868 0.24857303 0.2615563  0.24791452]],[[0.97952793 0.97329533 0.98271959 0.96989334]],[[0.06759411 0.06178855 0.0684117  0.06146161]],corrosion
[[1.3810013  2.12263775 1.50292292 2.37849074]],[[0.68771988 0.8873213  0.73558801 0.94571275]],[[0.71343603 0.65443521 0.69678866 0.63962603]],[[0.1700618  0.15670766 0.16555818 0.15305093]],[[0.95415377 0.92953009 0.95010209 0.92103486]],[[0.02892102 0.02455729 0.02740951 0.02342459]],corrosion
[[0.66213197 1.29213733 0.98541116 1.24670774]],[[0.47866367 0.73260477 0.62061179 0.70976146]],[[0.77823049 0.68546334 0.72431244 0.69441866]],[[0.26492109 0.23068907 0.24353959 0.23349513]],[[0.97208821 0.94553826 0.95845524 0.94745295]],[[0.07018318 0.05321745 0.05931153 0.05451998]],corrosion
[[0.78846    1.17339438 0.82009322 1.18102583]],[[0.48022057 0.61593766 0.48476604 0.61621882]],[[0.78735828 0.74029957 0.78773145 0.74092661]],[[0.22188584 0.20539927 0.22238022 0.20550862]],[[0.93739809 0.90689809 0.93518788 0.90626067]],[[0.04923333 0.04218886 0.04945296 0.04223379]],corrosion
[[0.15890575 0.21224544 0.14994333 0.21012976]],[[0.15700458 0.20525939 0.14785527 0.20383933]],[[0.9216869  0.89806552 0.92628097 0.89870719]],[[0.25726197 0.24507668 0.25995046 0.24527858]],[[0.99429273 0.9923785  0.9946159  0.99245442]],[[0.06618372 0.06006258 0.06757424 0.06016158]],corrosion
[[0.8616818  1.8747573  1.27448048 1.89149102]],[[0.39934703 0.62705418 0.47315624 0.63125763]],[[0.83907946 0.77865503 0.82099339 0.77765518]],[[0.33069964 0.31282398 0.32407698 0.31253661]],[[0.95848658 0.9085998  0.93842989 0.90778719]],[[0.10936225 0.09785884 0.10502589 0.09767914]],corrosion
[[0.99513454 1.88546822 1.27748375 2.20620373]],[[0.34309325 0.47709074 0.41477484 0.59864155]],[[0.86934827 0.84071748 0.84488344 0.79530498]],[[0.39505843 0.38388009 0.38607433 0.37975066]],[[0.98031357 0.96272628 0.97474005 0.95638562]],[[0.15607117 0.14736392 0.14905339 0.14421056]],corrosion
[[3.36359414 6.02915035 5.38545443 6.80853378]],[[1.18952312 1.56643255 1.48461467 1.70158701]],[[0.57643304 0.51447081 0.52594511 0.49150836]],[[0.12742255 0.11686271 0.11863268 0.11335479]],[[0.91773807 0.8517999  0.86753172 0.83262952]],[[0.01623651 0.01365689 0.01407371 0.01284931]],corrosion
[[2.47368947 3.40674157 2.77077015 4.03794141]],[[0.88426167 1.07134831 0.92264565 1.15559791]],[[0.68299933 0.63902413 0.68057387 0.62905667]],[[0.19267771 0.17993242 0.19321926 0.17813273]],[[0.91281378 0.87997169 0.90237325 0.85774278]],[[0.0371247  0.03237568 0.03733368 0.03173127]],corrosion
[[1.2572125  1.54936338 0.98665653 1.96863076]],[[0.53728123 0.63539784 0.48052494 0.70494437]],[[0.78790098 0.75596247 0.80303926 0.7414424 ]],[[0.26904976 0.25879777 0.27100533 0.2570678 ]],[[0.96483599 0.95654907 0.97229207 0.94480797]],[[0.07238777 0.06697628 0.07344389 0.06608385]],corrosion
[[1.41302474 2.21981054 1.28827401 1.76726527]],[[0.55931888 0.75161634 0.55725621 0.6910848 ]],[[0.78803318 0.73161914 0.78111343 0.73898712]],[[0.18815469 0.16842853 0.18302114 0.16956788]],[[0.94373631 0.91155074 0.94866993 0.92958231]],[[0.03540219 0.02836817 0.03349674 0.02875327]],corrosion
[[1.05854953 1.68264239 1.19492771 1.77629355]],[[0.69489128 0.90643938 0.7336747  0.93114542]],[[0.68720721 0.61802094 0.6759467  0.61139358]],[[0.20273907 0.18331273 0.19976729 0.18165078]],[[0.88006073 0.80919065 0.86448839 0.79858574]],[[0.04110313 0.03360356 0.03990697 0.032997  ]],corrosion
[[1.04280165 1.68715139 1.14839628 1.69887763]],[[0.65585492 0.86085484 0.69155418 0.87052123]],[[0.70875448 0.64457297 0.69720947 0.63990051]],[[0.17519219 0.15889132 0.17290658 0.15757432]],[[0.94385353 0.90925035 0.93821551 0.9086185 ]],[[0.0306923  0.02524645 0.02989668 0.02482967]],corrosion
[[0.41729036 0.77611413 0.68194073 0.98409113]],[[0.35706925 0.53674146 0.48275876 0.6176481 ]],[[0.82743669 0.75463695 0.77777067 0.72588938]],[[0.24117759 0.21616509 0.22546915 0.2056194 ]],[[0.9734744  0.95026335 0.95628523 0.93693525]],[[0.05816663 0.04672735 0.05083634 0.04227934]],corrosion
[[3.91544915 5.69129466 4.27053883 4.57070711]],[[1.30132888 1.5663645  1.33656633 1.44077884]],[[0.55384129 0.51164073 0.55379404 0.51960241]],[[0.12490836 0.11854644 0.12557755 0.1187019 ]],[[0.87306132 0.81573727 0.86178858 0.85202602]],[[0.0156021  0.01405326 0.01576972 0.01409014]],corrosion
[[0.94880763 1.99762114 1.50584743 1.91795938]],[[0.46220191 0.68441148 0.55702986 0.65732448]],[[0.80981988 0.75250561 0.79026656 0.76160689]],[[0.25053209 0.23361498 0.24198091 0.23545216]],[[0.97620892 0.94981206 0.96217884 0.95181103]],[[0.06276633 0.05457596 0.05855476 0.05543772]],corrosion
[[1.1634749  1.89107007 1.15054062 1.71124653]],[[0.49771429 0.68897986 0.54606117 0.67448171]],[[0.80646963 0.7507029  0.78041007 0.74745384]],[[0.35674679 0.3413611  0.34622457 0.33913607]],[[0.93590189 0.89571895 0.93657827 0.90560977]],[[0.12726828 0.1165274  0.11987145 0.11501327]],corrosion
[[1.62353853 2.7097406  1.75367771 2.61073584]],[[0.57601607 0.82441345 0.62311138 0.81090371]],[[0.78008995 0.71261341 0.76847918 0.71546379]],[[0.23770239 0.21387841 0.23267233 0.21456094]],[[0.9184337  0.86390884 0.9118497  0.86888174]],[[0.05650243 0.04574397 0.05413641 0.0460364 ]],corrosion
[[0.75449279 0.96379436 0.41761421 0.98507661]],[[0.52989799 0.61684904 0.32956267 0.63063831]],[[0.75697292 0.7247183  0.84357887 0.71861459]],[[0.17284922 0.16368673 0.20396312 0.16191498]],[[0.96840323 0.95960101 0.98251813 0.95872629]],[[0.02987685 0.02679335 0.04160096 0.02621646]],corrosion
[[1.00607368 1.53831787 0.99003741 1.48690605]],[[0.58515144 0.76645781 0.55636465 0.74026991]],[[0.74566346 0.68456177 0.75983365 0.69344636]],[[0.17665162 0.15938924 0.17992397 0.16207768]],[[0.96695928 0.94933412 0.967395   0.95105917]],[[0.03120579 0.02540493 0.03237263 0.02626917]],corrosion
[[0.60052779 1.02748199 0.64631071 0.9993929 ]],[[0.37409665 0.51837424 0.38535765 0.5100973 ]],[[0.83380958 0.7842819  0.83076199 0.78670931]],[[0.20081779 0.18367362 0.1998751  0.18448398]],[[0.97676558 0.9602465  0.97499397 0.96133325]],[[0.04032778 0.033736   0.03995006 0.03403434]],corrosion
[[0.06540802 0.09998569 0.06296022 0.09908058]],[[0.06501711 0.09887537 0.06264572 0.09815899]],[[0.96753052 0.95067301 0.96870858 0.95101245]],[[0.34374325 0.33138592 0.34462492 0.3316997 ]],[[0.99337396 0.98986956 0.99362155 0.98996114]],[[0.11815942 0.10981663 0.11876634 0.11002469]],corrosion
[[0.87409756 1.38463544 1.04155844 1.49995989]],[[0.47538989 0.62254351 0.51636364 0.65260287]],[[0.79807753 0.75229771 0.78658668 0.74494493]],[[0.2299596  0.21506735 0.22433582 0.21329548]],[[0.95539153 0.92936133 0.94715125 0.92347369]],[[0.05288142 0.04625397 0.05032656 0.04549496]],corrosion
[[1.17574361 2.02591004 1.48643387 1.87801566]],[[0.61068287 0.81916867 0.69305224 0.79208981]],[[0.74565443 0.69070704 0.72263755 0.69482105]],[[0.29058853 0.27001131 0.28280641 0.27079723]],[[0.9132194  0.84992987 0.88986009 0.86088237]],[[0.08444169 0.0729061  0.07997946 0.07333114]],corrosion
[[3.6249651  4.76028716 2.79454545 5.0143178 ]],[[1.31843564 1.53196439 1.13692308 1.57467715]],[[0.53619502 0.49550797 0.57696748 0.48962622]],[[0.15144646 0.14364419 0.16284235 0.14264965]],[[0.81071723 0.75082695 0.8538458  0.73751351]],[[0.02293603 0.02063365 0.02651763 0.02034892]],corrosion
[[1.57290632 2.47333889 1.38172792 2.66544485]],[[0.64297609 0.85634467 0.58254558 0.89229486]],[[0.75046124 0.69058095 0.76911024 0.68418957]],[[0.18188827 0.16615685 0.18501557 0.16517875]],[[0.96049475 0.93773426 0.9652551  0.93289803]],[[0.03308334 0.0276081  0.03423076 0.02728402]],corrosion
[[0.23275676 0.3629755  0.26618842 0.36118216]],[[0.22118647 0.31803606 0.24768865 0.31329935]],[[0.89055885 0.84543299 0.87799655 0.84806664]],[[0.34385028 0.32276659 0.3381943  0.32403585]],[[0.99277718 0.98871761 0.99173866 0.98877336]],[[0.11823302 0.10417827 0.11437538 0.10499923]],corrosion
[[0.64289139 1.02572599 0.71304539 1.04020565]],[[0.43662591 0.60173917 0.46446076 0.60517331]],[[0.80096817 0.73806435 0.79044755 0.73653464]],[[0.19784449 0.18152587 0.20056788 0.18073039]],[[0.9730546  0.95679137 0.96995677 0.95621075]],[[0.03914244 0.03295164 0.04022747 0.03266347]],corrosion
[[0.54450626 0.89370322 0.57724937 0.85830324]],[[0.33118816 0.44757406 0.34464038 0.45206604]],[[0.8536094  0.81391835 0.84837061 0.80901685]],[[0.24007203 0.22691858 0.23740255 0.22334891]],[[0.98286869 0.97188094 0.98183788 0.97299491]],[[0.05763458 0.05149204 0.05635997 0.04988474]],corrosion
[[0.18240393 0.31465788 0.1842611  0.29492197]],[[0.14976784 0.2304309  0.15303027 0.22130226]],[[0.92833034 0.892894   0.92655152 0.89645616]],[[0.2591089  0.24316273 0.25786418 0.24432486]],[[0.99219194 0.98652993 0.99211201 0.98737471]],[[0.06713742 0.05912812 0.06649394 0.05969464]],corrosion
[[1.43742015 2.92238405 1.4329557  1.57972236]],[[0.66957442 1.01647007 0.70750664 0.76311988]],[[0.73228946 0.63997568 0.70923752 0.69049768]],[[0.18510957 0.1565526  0.17024153 0.16636554]],[[0.95870629 0.91586211 0.958762   0.95453758]],[[0.03426555 0.02450872 0.02898218 0.02767749]],corrosion
[[1.3368297  2.21319838 1.76177806 2.24012933]],[[0.66900424 0.92376592 0.80528938 0.94567619]],[[0.72545672 0.6449177  0.67893267 0.63558812]],[[0.21783477 0.19860973 0.21004773 0.1953587 ]],[[0.93382023 0.89058263 0.91301774 0.88928076]],[[0.04745199 0.03944582 0.04412005 0.03816502]],corrosion
[[1.73088429 2.22830272 1.62355644 2.29987166]],[[0.86342786 1.00150397 0.81632368 1.02334162]],[[0.64364567 0.60313226 0.66118205 0.59691634]],[[0.2020335  0.1903367  0.20749401 0.18857724]],[[0.78954085 0.72842025 0.80267628 0.71974777]],[[0.04081753 0.03622806 0.04305376 0.03556137]],corrosion
[[0.57194043 0.69777043 0.51743232 0.85613595]],[[0.43309403 0.49921084 0.40228975 0.56820846]],[[0.79681492 0.76935436 0.80996171 0.74303156]],[[0.22804648 0.21687876 0.23429506 0.20765756]],[[0.94431247 0.93195031 0.94953704 0.91650569]],[[0.0520052  0.04703639 0.05489418 0.04312166]],corrosion
[[0.41780345 0.64397479 0.43776235 0.64419251]],[[0.32317166 0.44469831 0.33852483 0.43899631]],[[0.84741578 0.79620457 0.84028031 0.79951527]],[[0.26396456 0.23972436 0.26049592 0.24121556]],[[0.96393287 0.94440092 0.96220244 0.94438213]],[[0.06967729 0.05746777 0.06785813 0.05818495]],corrosion
[[1.81553756 3.4329435  2.53917314 3.5274637 ]],[[0.71997423 1.02217973 0.85723895 1.03481691]],[[0.71805841 0.64628782 0.68297026 0.64437668]],[[0.18293414 0.16602915 0.17549829 0.16529805]],[[0.95418707 0.91283265 0.93552849 0.91043174]],[[0.0334649  0.02756568 0.03079965 0.02732344]],corrosion
[[2.11423009 4.00228091 2.94660814 4.06270508]],[[0.65001887 0.94365746 0.77873105 0.94853942]],[[0.77595741 0.71801443 0.7502004  0.71703614]],[[0.39105349 0.37434079 0.38347628 0.37420578]],[[0.93905267 0.88495682 0.9152062  0.88321996]],[[0.15292283 0.14013103 0.14705406 0.14002996]],corrosion
[[0.84574269 1.52092968 0.95808013 1.2668767 ]],[[0.53128337 0.75579685 0.57863782 0.69252929]],[[0.76374025 0.68924038 0.74591555 0.70566627]],[[0.18653198 0.16587001 0.18065962 0.16959738]],[[0.96487176 0.93686595 0.96023101 0.94741087]],[[0.03479418 0.02751286 0.0326379  0.02876327]],corrosion
[[1.03662191 1.65290754 1.12843429 1.480952  ]],[[0.45786382 0.66764659 0.54605157 0.66059923]],[[0.81697333 0.73799036 0.77260765 0.73415203]],[[0.20484651 0.17801776 0.18826201 0.17557161]],[[0.95702842 0.93137189 0.95315524 0.93845807]],[[0.04196209 0.03169032 0.03544259 0.03082539]],corrosion
[[1.34057314 1.75919253 0.90007416 1.61468355]],[[0.77750662 0.9202498  0.62166383 0.87548543]],[[0.66481348 0.61820961 0.71631426 0.63161037]],[[0.21552688 0.20056016 0.23157381 0.20472499]],[[0.79842339 0.7355841  0.86487023 0.75730277]],[[0.04645184 0.04022438 0.05362643 0.04191232]],corrosion
[[0.33664988 0.45176126 0.32048333 0.45790658]],[[0.30088708 0.38251597 0.28639446 0.38665301]],[[0.853113   0.8155671  0.86019471 0.81370998]],[[0.38644345 0.36140418 0.38975341 0.36026018]],[[0.87867641 0.8374268  0.88474329 0.83522488]],[[0.14933854 0.13061298 0.15190772 0.1297874 ]],corrosion
[[1.86897118 2.26216602 1.77101864 2.30743033]],[[0.98620898 1.10476965 0.95303505 1.11768184]],[[0.58994305 0.55496997 0.60051237 0.55148512]],[[0.19606225 0.18789941 0.19890039 0.18714648]],[[0.71460134 0.65443988 0.72945498 0.6475313 ]],[[0.03844041 0.03530619 0.03956137 0.0350238 ]],corrosion
[[3.76877525 5.71700252 4.04314861 4.97487354]],[[1.17903966 1.45199068 1.21283889 1.35327234]],[[0.6051293  0.55950115 0.59620387 0.57199184]],[[0.13698251 0.12755811 0.13532736 0.12995443]],[[0.88779334 0.82846412 0.87870878 0.85073429]],[[0.01876421 0.01627107 0.01831349 0.01688815]],corrosion
[[1.40276529 2.34321285 1.61068    2.44684739]],[[0.40810006 0.6124498  0.49328    0.62074297]],[[0.86014223 0.80135837 0.82652047 0.80120265]],[[0.26764839 0.24540258 0.25393011 0.24548585]],[[0.96335241 0.93904196 0.95804178 0.93635269]],[[0.07163566 0.06022243 0.0644805  0.0602633 ]],corrosion
[[1.40439942 2.39548942 1.60917839 1.99387476]],[[0.62241269 0.85875808 0.68497809 0.77043419]],[[0.75826679 0.69635328 0.73869863 0.71767696]],[[0.22479718 0.21222059 0.22216447 0.21571975]],[[0.95443178 0.92239551 0.94789943 0.93541933]],[[0.05053377 0.04503758 0.04935705 0.04653501]],corrosion
[[0.7843256  1.31427654 1.08134358 1.69166003]],[[0.49948557 0.7033346  0.62585339 0.8082697 ]],[[0.77712225 0.70476138 0.73010466 0.67468542]],[[0.18614649 0.1656268  0.17207656 0.1588715 ]],[[0.97119807 0.95176186 0.96034408 0.93791072]],[[0.03465052 0.02743224 0.02961034 0.02524015]],corrosion
[[2.08003026 5.7868289  4.37166206 5.14112427]],[[0.96069604 1.70974646 1.45159964 1.60049762]],[[0.61874218 0.46107722 0.50944148 0.47973502]],[[0.14665918 0.11246011 0.12095895 0.11657735]],[[0.92072071 0.77945085 0.83337575 0.80406014]],[[0.02150891 0.01264728 0.01463107 0.01359028]],corrosion
